1#1+ы#1+а#1+ов#1+у#1+ам#1#1+ы#1+ом#1+ами#1+е#1+ах
0=аборт,1=аборт
0=гримаса,1=гримас
0=гроза,1=гроз
0=груда,1=груд
0=группа,1=групп
0=грёза,1=грёз
0=губа,1=губ
0=дата,1=дат
0=держава,1=держав
0=диаграмма,1=диаграмм
0=диета,1=диет
0=диктатура,1=диктатур
0=директива,1=директив
0=дисциплина,1=дисциплин
0=длина,1=длин
0=доброта,1=доброт
0=доза,1=доз
0=доктрина,1=доктрин
0=долина,1=долин
0=досада,1=досад
0=драма,1=драм
0=древесина,1=древесин
0=дружба,1=дружб
0=дружина,1=дружин
0=дума,1=дум
0=дыра,1=дыр
0=дюжина,1=дюжин
0=еда,1=ед
0=езда,1=езд
0=ерунда,1=ерунд
0=жажда,1=жажд
0=жалоба,1=жалоб
0=жара,1=жар
0=жемчужина,1=жемчужин
0=женитьба,1=женитьб
0=жертва,1=жертв
0=жила,1=жил
0=жопа,1=жоп
0=забава,1=забав
0=забота,1=забот
0=замена,1=замен
0=зарплата,1=зарплат
0=засада,1=засад
0=затрата,1=затрат
0=защита,1=защит
0=зима,1=зим
0=злоба,1=злоб
0=зола,1=зол
0=зона,1=зон
0=игла,1=игл
0=игра,1=игр
0=изба,1=изб
0=измена,1=измен
0=икона,1=икон
0=икра,1=икр
0=инициатива,1=инициатив
0=инфраструктура,1=инфраструктур
0=искра,1=искр
0=истина,1=истин
0=кабина,1=кабин
0=казарма,1=казарм
0=казна,1=казн
0=калина,1=калин
0=камера,1=камер
0=канава,1=канав
0=кандидатура,1=кандидатур
0=капуста,1=капуст
0=кара,1=кар
0=карета,1=карет
0=карикатура,1=карикатур
0=карта,1=карт
0=картина,1=картин
0=карьера,1=карьер
0=касса,1=касс
0=кассета,1=кассет
0=катастрофа,1=катастроф
0=кафедра,1=кафедр
0=каюта,1=кают
0=квартира,1=квартир
0=квота,1=квот
0=кислота,1=кислот
0=клевета,1=клевет
0=клумба,1=клумб
0=клятва,1=клятв
0=кобура,1=кобур
0=колбаса,1=колбас
0=колода,1=колод
0=колонна,1=колонн
0=команда,1=команд
0=коммуна,1=коммун
0=комната,1=комнат
0=компонента,1=компонент
0=контора,1=контор
0=конфета,1=конфет
0=кончина,1=кончин
0=конъюнктура,1=конъюнктур
0=координата,1=координат
0=кора,1=кор
0=корзина,1=корзин
0=корма,1=корм
0=корона,1=корон
0=коса,1=кос
0=котлета,1=котлет
0=кофта,1=кофт
0=крапива,1=крапив
0=красота,1=красот
0=крона,1=крон
0=крупа,1=круп
0=кукуруза,1=кукуруз
0=кулиса,1=кулис
0=культура,1=культур
0=купюра,1=купюр
0=лада,1=лад
0=лампа,1=ламп
0=лапа,1=лап
0=легенда,1=легенд
0=лента,1=лент
0=липа,1=лип
0=лира,1=лир
0=листва,1=листв
0=литература,1=литератур
0=лопата,1=лопат
0=луна,1=лун
0=лысина,1=лысин
0=льгота,1=льгот
0=льдина,1=льдин
0=люстра,1=люстр
0=малина,1=малин
0=манера,1=манер
0=масса,1=масс
0=мачта,1=мачт
0=машина,1=машин
0=медицина,1=медицин
0=мембрана,1=мембран
0=мера,1=мер
0=метафора,1=метафор
0=мечта,1=мечт
0=мина,1=мин
0=миниатюра,1=миниатюр
0=минута,1=минут
0=могила,1=могил
0=мода,1=мод
0=молекула,1=молекул
0=молитва,1=молитв
0=мольба,1=мольб
0=монета,1=монет
0=морда,1=морд
0=морщина,1=морщин
0=награда,1=наград
0=надежда,1=надежд
0=натура,1=натур
0=неправда,1=неправд
0=нива,1=нив
0=нищета,1=нищет
0=новелла,1=новелл
0=новизна,1=новизн
0=номенклатура,1=номенклатур
0=нора,1=нор
0=норма,1=норм
0=нота,1=нот
0=нужда,1=нужд
0=обида,1=обид
0=оборона,1=оборон
0=обочина,1=обочин
0=община,1=общин
0=ограда,1=оград
0=одежда,1=одежд
0=окраина,1=окраин
0=олимпиада,1=олимпиад
0=опера,1=опер
0=оперетта,1=оперетт
0=оплата,1=оплат
0=опора,1=опор
0=орбита,1=орбит
0=основа,1=основ
0=острота,1=острот
0=отмена,1=отмен
0=охота,1=охот
0=охрана,1=охран
0=палата,1=палат
0=палуба,1=палуб
0=пальма,1=пальм
0=панорама,1=панорам
0=папироса,1=папирос
0=пара,1=пар
0=парадигма,1=парадигм
0=парта,1=парт
0=паста,1=паст
0=пауза,1=пауз
0=паутина,1=паутин
0=пена,1=пен
0=перемена,1=перемен
0=перспектива,1=перспектив
0=пехота,1=пехот
0=пещера,1=пещер
0=пила,1=пил
0=пирамида,1=пирамид
0=плазма,1=плазм
0=планета,1=планет
0=пластина,1=пластин
0=плата,1=плат
0=платформа,1=платформ
0=плита,1=плит
0=плотина,1=плотин
0=победа,1=побед
0=погода,1=погод
0=подошва,1=подошв
0=подсистема,1=подсистем
0=поза,1=поз
0=полнота,1=полнот
0=половина,1=половин
0=полоса,1=полос
0=польза,1=польз
0=поляна,1=полян
0=помада,1=помад
0=пора,1=пор
0=порода,1=пород
0=посуда,1=посуд
0=похвала,1=похвал
0=почва,1=почв
0=почта,1=почт
0=пошлина,1=пошлин
0=поэма,1=поэм
0=правда,1=правд
0=правота,1=правот
0=преграда,1=преград
0=премьера,1=премьер
0=пресс-служба,1=пресс-служб
0=пресса,1=пресс
0=примета,1=примет
0=природа,1=природ
0=причина,1=причин
0=проба,1=проб
0=проблема,1=проблем
0=программа,1=программ
0=проза,1=проз
0=прокуратура,1=прокуратур
0=пропаганда,1=пропаганд
0=простота,1=простот
0=просьба,1=просьб
0=прохлада,1=прохлад
0=процедура,1=процедур
0=пружина,1=пружин
0=пустота,1=пустот
0=пьеса,1=пьес
0=пята,1=пят
0=работа,1=работ
0=равнина,1=равнин
0=ракета,1=ракет
0=раковина,1=раковин
0=рама,1=рам
0=рана,1=ран
0=расправа,1=расправ
0=режиссура,1=режиссур
0=резина,1=резин
0=реклама,1=реклам
0=рента,1=рент
0=реформа,1=реформ
0=рифма,1=рифм
0=родина,1=родин
0=роза,1=роз
0=роса,1=рос
0=рота,1=рот
0=руда,1=руд
0=руины,1=руин
0=сатира,1=сатир
0=свита,1=свит
0=свобода,1=свобод
0=седина,1=седин
0=секта,1=сект
0=секунда,1=секунд
0=середина,1=середин
0=сигара,1=сигар
0=сигарета,1=сигарет
0=сила,1=сил
0=синева,1=синев
0=система,1=систем
0=скала,1=скал
0=скважина,1=скважин
0=скула,1=скул
0=скульптура,1=скульптур
0=слава,1=слав
0=служба,1=служб
0=слюна,1=слюн
0=смена,1=смен
0=сметана,1=сметан
0=смола,1=смол
0=солома,1=солом
0=спецслужба,1=спецслужб
0=спина,1=спин
0=среда,1=сред
0=ссора,1=ссор
0=ссуда,1=ссуд
0=старина,1=старин
0=стена,1=стен
0=стопа,1=стоп
0=сторона,1=сторон
0=страна,1=стран
0=стрела,1=стрел
0=стрельба,1=стрельб
0=строфа,1=строф
0=структура,1=структур
0=струна,1=струн
0=суббота,1=суббот
0=суета,1=сует
0=сумма,1=сумм
0=сфера,1=сфер
0=схема,1=схем
0=сцена,1=сцен
0=тайна,1=тайн
0=тахта,1=тахт
0=телеграмма,1=телеграмм
0=тема,1=тем
0=темнота,1=темнот
0=температура,1=температур
0=теорема,1=теорем
0=теплота,1=теплот
0=терраса,1=террас
0=теснота,1=теснот
0=тишина,1=тишин
0=толпа,1=толп
0=толщина,1=толщин
0=тонна,1=тонн
0=тошнота,1=тошнот
0=трава,1=трав
0=травма,1=травм
0=трапеза,1=трапез
0=трасса,1=трасс
0=трещина,1=трещин
0=трибуна,1=трибун
0=тропа,1=троп
0=труба,1=труб
0=труппа,1=трупп
0=тундра,1=тундр
0=угроза,1=угроз
0=уплата,1=уплат
0=урна,1=урн
0=усадьба,1=усадьб
0=утрата,1=утрат
0=учеба,1=учёб
0=фаза,1=фаз
0=фара,1=фар
0=ферма,1=ферм
0=фигура,1=фигур
0=физкультура,1=физкультур
0=фирма,1=фирм
0=форма,1=форм
0=формула,1=формул
0=фраза,1=фраз
0=хата,1=хат
0=ходьба,1=ходьб
0=целина,1=целин
0=цена,1=цен
0=цензура,1=цензур
0=цитата,1=цитат
0=цифра,1=цифр
0=частота,1=частот
0=чернота,1=чернот
0=черта,1=черт
0=чета,1=чет
0=чистота,1=чистот
0=чума,1=чум
0=шахта,1=шахт
0=шина,1=шин
0=ширина,1=ширин
0=широта,1=широт
0=шкала,1=шкал
0=школа,1=школ
0=шкура,1=шкур
0=шляпа,1=шляп
0=штора,1=штор
0=шуба,1=шуб
0=экспертиза,1=экспертиз
0=элита,1=элит
0=эра,1=эр
0=эстрада,1=эстрад
0=ягода,1=ягод
0=язва,1=язв
0=яма,1=ям
0=яхта,1=яхт
1+а#1+ы#1+ы#1#1+е#1+ам#1+у#1+ы#1+ой#1+ами#1+е#1+ах
0=автомашина,1=автомашин
0=аксиома,1=аксиом
0=альтернатива,1=альтернатив
0=анкета,1=анкет
0=антенна,1=антенн
0=аппаратура,1=аппаратур
0=арена,1=арен
0=аренда,1=аренд
0=архитектура,1=архитектур
0=аспирантура,1=аспирантур
0=атмосфера,1=атмосфер
0=база,1=баз
0=банда,1=банд
0=беда,1=бед
0=бездна,1=бездн
0=берёза,1=берёз
0=беседа,1=бесед
0=битва,1=битв
0=блокада,1=блокад
0=бомба,1=бомб
0=борода,1=бород
0=борьба,1=борьб
0=бригада,1=бригад
0=бритва,1=бритв
0=бронза,1=бронз
0=брошюра,1=брошюр
0=буква,1=букв
0=бухта,1=бухт
0=быстрота,1=быстрот
0=ваза,1=ваз
0=вакцина,1=вакцин
0=валюта,1=валют
0=ванна,1=ванн
0=вата,1=ват
0=вахта,1=вахт
0=величина,1=величин
0=вена,1=вен
0=вера,1=вер
0=веранда,1=веранд
0=вершина,1=вершин
0=виза,1=виз
0=вилла,1=вилл
0=вина,1=вин
0=витрина,1=витрин
0=вода,1=вод
0=война,1=войн
0=волна,1=волн
0=вражда,1=вражд
0=выгода,1=выгод
0=выплата,1=выплат
0=высота,1=высот
0=газета,1=газет
0=гамма,1=гамм
0=гипотеза,1=гипотез
0=гитара,1=гитар
0=глава,1=глав
0=глина,1=глин
0=глубина,1=глубин
0=глыба,1=глыб
0=годовщина,1=годовщин
0=голова,1=голов
0=гора,1=гор
0=гравюра,1=гравюр
0=грамота,1=грамот
0=граната,1=гранат
0=графа,1=граф
0=гримаса,1=гримас
0=гроза,1=гроз
0=груда,1=груд
0=группа,1=групп
0=грёза,1=грёз
0=губа,1=губ
0=дата,1=дат
0=держава,1=держав
0=диаграмма,1=диаграмм
0=диета,1=диет
0=диктатура,1=диктатур
0=директива,1=директив
0=дисциплина,1=дисциплин
0=длина,1=длин
0=доброта,1=доброт
0=доза,1=доз
0=доктрина,1=доктрин
0=долина,1=долин
0=досада,1=досад
0=драма,1=драм
0=древесина,1=древесин
0=дружба,1=дружб
0=дружина,1=дружин
0=дума,1=дум
0=дыра,1=дыр
0=дюжина,1=дюжин
0=еда,1=ед
0=езда,1=езд
0=ерунда,1=ерунд
0=жажда,1=жажд
0=жалоба,1=жалоб
0=жара,1=жар
0=жемчужина,1=жемчужин
0=женитьба,1=женитьб
0=жертва,1=жертв
0=жила,1=жил
0=жопа,1=жоп
0=забава,1=забав
0=забота,1=забот
0=замена,1=замен
0=зарплата,1=зарплат
0=засада,1=засад
0=затрата,1=затрат
0=защита,1=защит
0=зима,1=зим
0=злоба,1=злоб
0=зола,1=зол
0=зона,1=зон
0=игла,1=игл
0=игра,1=игр
0=изба,1=изб
0=измена,1=измен
0=икона,1=икон
0=икра,1=икр
0=инициатива,1=инициатив
0=инфраструктура,1=инфраструктур
0=искра,1=искр
0=истина,1=истин
0=кабина,1=кабин
0=казарма,1=казарм
0=казна,1=казн
0=калина,1=калин
0=камера,1=камер
0=канава,1=канав
0=кандидатура,1=кандидатур
0=капуста,1=капуст
0=кара,1=кар
0=карета,1=карет
0=карикатура,1=карикатур
0=карта,1=карт
0=картина,1=картин
0=карьера,1=карьер
0=касса,1=касс
0=кассета,1=кассет
0=катастрофа,1=катастроф
0=кафедра,1=кафедр
0=каюта,1=кают
0=квартира,1=квартир
0=квота,1=квот
0=кислота,1=кислот
0=клевета,1=клевет
0=клумба,1=клумб
0=клятва,1=клятв
0=кобура,1=кобур
0=колбаса,1=колбас
0=колода,1=колод
0=колонна,1=колонн
0=команда,1=команд
0=коммуна,1=коммун
0=комната,1=комнат
0=компонента,1=компонент
0=контора,1=контор
0=конфета,1=конфет
0=кончина,1=кончин
0=конъюнктура,1=конъюнктур
0=координата,1=координат
0=кора,1=кор
0=корзина,1=корзин
0=корма,1=корм
0=корона,1=корон
0=коса,1=кос
0=котлета,1=котлет
0=кофта,1=кофт
0=крапива,1=крапив
0=красота,1=красот
0=крона,1=крон
0=крупа,1=круп
0=кукуруза,1=кукуруз
0=кулиса,1=кулис
0=культура,1=культур
0=купюра,1=купюр
0=лада,1=лад
0=лампа,1=ламп
0=лапа,1=лап
0=легенда,1=легенд
0=лента,1=лент
0=липа,1=лип
0=лира,1=лир
0=листва,1=листв
0=литература,1=литератур
0=лопата,1=лопат
0=луна,1=лун
0=лысина,1=лысин
0=льгота,1=льгот
0=льдина,1=льдин
0=люстра,1=люстр
0=малина,1=малин
0=манера,1=манер
0=масса,1=масс
0=мачта,1=мачт
0=машина,1=машин
0=медицина,1=медицин
0=мембрана,1=мембран
0=мера,1=мер
0=метафора,1=метафор
0=мечта,1=мечт
0=мина,1=мин
0=миниатюра,1=миниатюр
0=минута,1=минут
0=могила,1=могил
0=мода,1=мод
0=молекула,1=молекул
0=молитва,1=молитв
0=мольба,1=мольб
0=монета,1=монет
0=морда,1=морд
0=морщина,1=морщин
0=награда,1=наград
0=надежда,1=надежд
0=натура,1=натур
0=неправда,1=неправд
0=нива,1=нив
0=нищета,1=нищет
0=новелла,1=новелл
0=новизна,1=новизн
0=номенклатура,1=номенклатур
0=нора,1=нор
0=норма,1=норм
0=нота,1=нот
0=нужда,1=нужд
0=обида,1=обид
0=оборона,1=оборон
0=обочина,1=обочин
0=община,1=общин
0=ограда,1=оград
0=одежда,1=одежд
0=окраина,1=окраин
0=олимпиада,1=олимпиад
0=опера,1=опер
0=оперетта,1=оперетт
0=оплата,1=оплат
0=опора,1=опор
0=орбита,1=орбит
0=основа,1=основ
0=острота,1=острот
0=отмена,1=отмен
0=охота,1=охот
0=охрана,1=охран
0=палата,1=палат
0=палуба,1=палуб
0=пальма,1=пальм
0=панорама,1=панорам
0=папироса,1=папирос
0=пара,1=пар
0=парадигма,1=парадигм
0=парта,1=парт
0=паста,1=паст
0=пауза,1=пауз
0=паутина,1=паутин
0=пена,1=пен
0=перемена,1=перемен
0=перспектива,1=перспектив
0=пехота,1=пехот
0=пещера,1=пещер
0=пила,1=пил
0=пирамида,1=пирамид
0=плазма,1=плазм
0=планета,1=планет
0=пластина,1=пластин
0=плата,1=плат
0=платформа,1=платформ
0=плита,1=плит
0=плотина,1=плотин
0=победа,1=побед
0=погода,1=погод
0=подошва,1=подошв
0=подсистема,1=подсистем
0=поза,1=поз
0=полнота,1=полнот
0=половина,1=половин
0=полоса,1=полос
0=польза,1=польз
0=поляна,1=полян
0=помада,1=помад
0=пора,1=пор
0=порода,1=пород
0=посуда,1=посуд
0=похвала,1=похвал
0=почва,1=почв
0=почта,1=почт
0=пошлина,1=пошлин
0=поэма,1=поэм
0=правда,1=правд
0=правота,1=правот
0=преграда,1=преград
0=премьера,1=премьер
0=пресс-служба,1=пресс-служб
0=пресса,1=пресс
0=примета,1=примет
0=природа,1=природ
0=причина,1=причин
0=проба,1=проб
0=проблема,1=проблем
0=программа,1=программ
0=проза,1=проз
0=прокуратура,1=прокуратур
0=пропаганда,1=пропаганд
0=простота,1=простот
0=просьба,1=просьб
0=прохлада,1=прохлад
0=процедура,1=процедур
0=пружина,1=пружин
0=пустота,1=пустот
0=пьеса,1=пьес
0=пята,1=пят
0=работа,1=работ
0=равнина,1=равнин
0=ракета,1=ракет
0=раковина,1=раковин
0=рама,1=рам
0=рана,1=ран
0=расправа,1=расправ
0=режиссура,1=режиссур
0=резина,1=резин
0=реклама,1=реклам
0=рента,1=рент
0=реформа,1=реформ
0=рифма,1=рифм
0=родина,1=родин
0=роза,1=роз
0=роса,1=рос
0=рота,1=рот
0=руда,1=руд
0=руины,1=руин
0=сатира,1=сатир
0=свита,1=свит
0=свобода,1=свобод
0=седина,1=седин
0=секта,1=сект
0=секунда,1=секунд
0=середина,1=середин
0=сигара,1=сигар
0=сигарета,1=сигарет
0=сила,1=сил
0=синева,1=синев
0=система,1=систем
0=скала,1=скал
0=скважина,1=скважин
0=скула,1=скул
0=скульптура,1=скульптур
0=слава,1=слав
0=служба,1=служб
0=слюна,1=слюн
0=смена,1=смен
0=сметана,1=сметан
0=смола,1=смол
0=солома,1=солом
0=спецслужба,1=спецслужб
0=спина,1=спин
0=среда,1=сред
0=ссора,1=ссор
0=ссуда,1=ссуд
0=старина,1=старин
0=стена,1=стен
0=стопа,1=стоп
0=сторона,1=сторон
0=страна,1=стран
0=стрела,1=стрел
0=стрельба,1=стрельб
0=строфа,1=строф
0=структура,1=структур
0=струна,1=струн
0=суббота,1=суббот
0=суета,1=сует
0=сумма,1=сумм
0=сфера,1=сфер
0=схема,1=схем
0=сцена,1=сцен
0=тайна,1=тайн
0=тахта,1=тахт
0=телеграмма,1=телеграмм
0=тема,1=тем
0=темнота,1=темнот
0=температура,1=температур
0=теорема,1=теорем
0=теплота,1=теплот
0=терраса,1=террас
0=теснота,1=теснот
0=тишина,1=тишин
0=толпа,1=толп
0=толщина,1=толщин
0=тонна,1=тонн
0=тошнота,1=тошнот
0=трава,1=трав
0=травма,1=травм
0=трапеза,1=трапез
0=трасса,1=трасс
0=трещина,1=трещин
0=трибуна,1=трибун
0=тропа,1=троп
0=труба,1=труб
0=труппа,1=трупп
0=тундра,1=тундр
0=угроза,1=угроз
0=уплата,1=уплат
0=урна,1=урн
0=утрата,1=утрат
0=учеба,1=учёб
0=фаза,1=фаз
0=фара,1=фар
0=ферма,1=ферм
0=фигура,1=фигур
0=физкультура,1=физкультур
0=фирма,1=фирм
0=форма,1=форм
0=формула,1=формул
0=фраза,1=фраз
0=хата,1=хат
0=ходьба,1=ходьб
0=целина,1=целин
0=цена,1=цен
0=цензура,1=цензур
0=цитата,1=цитат
0=цифра,1=цифр
0=частота,1=частот
0=чернота,1=чернот
0=черта,1=черт
0=чета,1=чет
0=чистота,1=чистот
0=чума,1=чум
0=шахта,1=шахт
0=шина,1=шин
0=ширина,1=ширин
0=широта,1=широт
0=шкала,1=шкал
0=школа,1=школ
0=шкура,1=шкур
0=шляпа,1=шляп
0=штора,1=штор
0=шуба,1=шуб
0=экспертиза,1=экспертиз
0=элита,1=элит
0=эра,1=эр
0=эстрада,1=эстрад
0=ягода,1=ягод
0=язва,1=язв
0=яма,1=ям
0=яхта,1=яхт
1+ь#1+и#1+и#1+ей#1+и#1+ям#1+ь#1+и#1+ью#1+ями#1+и#1+ях
0=активность,1=активност
0=актуальность,1=актуальност
0=артель,1=артел
0=бдительность,1=бдительност
0=бедность,1=бедност
0=безопасность,1=безопасност
0=беременность,1=беременност
0=бесконечность,1=бесконечност
0=беспомощность,1=беспомощност
0=благодарность,1=благодарност
0=благодать,1=благодат
0=близость,1=близост
0=болезнь,1=болезн
0=боль,1=бол
0=боязнь,1=боязн
0=бровь,1=бров
0=важность,1=важност
0=ведомость,1=ведомост
0=вежливость,1=вежливост
0=верность,1=верност
0=вероятность,1=вероятност
0=вертикаль,1=вертикал
0=весть,1=вест
0=весь,1=вес
0=ветвь,1=ветв
0=вечность,1=вечност
0=взаимосвязь,1=взаимосвяз
0=видимость,1=видимост
0=влажность,1=влажност
0=власть,1=власт
0=внешность,1=внешност
0=внутренность,1=внутренност
0=водоросль,1=водоросл
0=возможность,1=возможност
0=гадость,1=гадост
0=гастроли,1=гастрол
0=гибель,1=гибел
0=гибкость,1=гибкост
0=гладь,1=глад
0=гласность,1=гласност
0=глубь,1=глуб
0=глупость,1=глупост
0=гордость,1=гордост
0=государственность,1=государственност
0=готовность,1=готовност
0=грань,1=гран
0=грубость,1=грубост
0=грудь,1=груд
0=грусть,1=груст
0=грязь,1=гряз
0=давность,1=давност
0=даль,1=дал
0=дальность,1=дальност
0=дань,1=дан
0=дверь,1=двер
0=действительность,1=действительност
0=деталь,1=детал
0=деятельность,1=деятельност
0=длительность,1=длительност
0=добродетель,1=добродетел
0=доверенность,1=доверенност
0=договорённость,1=договорённост
0=должность,1=должност
0=достоверность,1=достоверност
0=достопримечательность,1=достопримечательност
0=доходность,1=доходност
0=драгоценность,1=драгоценност
0=древность,1=древност
0=дробь,1=дроб
0=дрянь,1=дрян
0=духовность,1=духовност
0=дуэль,1=дуэл
0=ель,1=ел
0=жадность,1=жадност
0=жалость,1=жалост
0=жесткость,1=жёсткост
0=живопись,1=живопис
0=жидкость,1=жидкост
0=жизнедеятельность,1=жизнедеятельност
0=жизнь,1=жизн
0=зависимость,1=зависимост
0=зависть,1=завист
0=задолженность,1=задолженност
0=заинтересованность,1=заинтересованност
0=законность,1=законност
0=закономерность,1=закономерност
0=занятость,1=занятост
0=запись,1=запис
0=заповедь,1=заповед
0=запчасти,1=запчаст
0=заросль,1=заросл
0=зелень,1=зелен
0=злость,1=злост
0=знаменитость,1=знаменитост
0=значимость,1=значимост
0=зрелость,1=зрелост
0=идентичность,1=идентичност
0=известность,1=известност
0=индивидуальность,1=индивидуальност
0=интенсивность,1=интенсивност
0=искренность,1=искренност
0=исповедь,1=исповед
0=казнь,1=казн
0=кисть,1=кист
0=конечность,1=конечност
0=конкурентоспособность,1=конкурентоспособност
0=кость,1=кост
0=крайность,1=крайност
0=крепость,1=крепост
0=кровать,1=кроват
0=кровь,1=кров
0=ладонь,1=ладон
0=легкость,1=лёгкост
0=лень,1=лен
0=летопись,1=летопис
0=личность,1=личност
0=лопасть,1=лопаст
0=магистраль,1=магистрал
0=малость,1=малост
0=мебель,1=мебел
0=медаль,1=медал
0=медь,1=мед
0=местность,1=местност
0=месть,1=мест
0=метель,1=метел
0=мечеть,1=мечет
0=милость,1=милост
0=мишень,1=мишен
0=модель,1=модел
0=молодость,1=молодост
0=мораль,1=морал
0=морковь,1=морков
0=мощность,1=мощност
0=мудрость,1=мудрост
0=мысль,1=мысл
0=наглость,1=наглост
0=надобность,1=надобност
0=надпись,1=надпис
0=надёжность,1=надёжност
0=наивность,1=наивност
0=направленность,1=направленност
0=напряжённость,1=напряжённост
0=национальность,1=национальност
0=невозможность,1=невозможност
0=недвижимость,1=недвижимост
0=нежность,1=нежност
0=независимость,1=независимост
0=неизбежность,1=неизбежност
0=неисправность,1=неисправност
0=неловкость,1=неловкост
0=ненависть,1=ненавист
0=необходимость,1=необходимост
0=неожиданность,1=неожиданност
0=неопределенность,1=неопределённост
0=неприязнь,1=неприязн
0=неприятность,1=неприятност
0=несостоятельность,1=несостоятельност
0=неспособность,1=неспособност
0=несправедливость,1=несправедливост
0=нефть,1=нефт
0=нить,1=нит
0=новость,1=новост
0=нравственность,1=нравственност
0=обитель,1=обител
0=область,1=област
0=обувь,1=обув
0=общественность,1=общественност
0=общность,1=общност
0=объективность,1=объективност
0=обязанность,1=обязанност
0=озабоченность,1=озабоченност
0=окрестность,1=окрестност
0=опасность,1=опасност
0=опухоль,1=опухол
0=осень,1=осен
0=особенность,1=особенност
0=осторожность,1=осторожност
0=ось,1=ос
0=ответственность,1=ответственност
0=отдельность,1=отдельност
0=откровенность,1=откровенност
0=открытость,1=открытост
0=отрасль,1=отрасл
0=отчетность,1=отчётност
0=очередь,1=очеред
0=ощупь,1=ощуп
0=память,1=памят
0=панель,1=панел
0=параллель,1=параллел
0=пасть,1=паст
0=педаль,1=педал
0=перепись,1=перепис
0=песнь,1=песн
0=печаль,1=печал
0=печать,1=печат
0=печень,1=печен
0=плоскость,1=плоскост
0=плотность,1=плотност
0=плоть,1=плот
0=площадь,1=площад
0=поверхность,1=поверхност
0=повесть,1=повест
0=подлость,1=подлост
0=подпись,1=подпис
0=подробность,1=подробност
0=полость,1=полост
0=популярность,1=популярност
0=последовательность,1=последовательност
0=постель,1=постел
0=потребность,1=потребност
0=пошлость,1=пошлост
0=правильность,1=правильност
0=преданность,1=преданност
0=прелесть,1=прелест
0=преступность,1=преступност
0=прибыль,1=прибыл
0=привлекательность,1=привлекательност
0=привязанность,1=привязанност
0=примесь,1=примес
0=принадлежность,1=принадлежност
0=пристань,1=пристан
0=причастность,1=причастност
0=продолжительность,1=продолжительност
0=прозрачность,1=прозрачност
0=производительность,1=производительност
0=промышленность,1=промышленност
0=пропасть,1=пропаст
0=проповедь,1=проповед
0=противоположность,1=противоположност
0=протяжённость,1=протяжённост
0=прочность,1=прочност
0=прядь,1=пряд
0=пыль,1=пыл
0=работоспособность,1=работоспособност
0=радость,1=радост
0=разновидность,1=разновидност
0=растерянность,1=растерянност
0=растительность,1=растительност
0=реальность,1=реальност
0=ревность,1=ревност
0=редкость,1=редкост
0=рентабельность,1=рентабельност
0=решимость,1=решимост
0=роль,1=рол
0=роспись,1=роспис
0=рукопись,1=рукопис
0=самодеятельность,1=самодеятельност
0=самостоятельность,1=самостоятельност
0=свежесть,1=свежест
0=связь,1=связ
0=святость,1=святост
0=себестоимость,1=себестоимост
0=серьезность,1=серьёзност
0=сеть,1=сет
0=сирень,1=сирен
0=скатерть,1=скатерт
0=склонность,1=склонност
0=скорбь,1=скорб
0=скорость,1=скорост
0=скромность,1=скромност
0=слабость,1=слабост
0=сладость,1=сладост
0=словесность,1=словесност
0=сложность,1=сложност
0=случайность,1=случайност
0=смелость,1=смелост
0=смертность,1=смертност
0=смерть,1=смерт
0=смесь,1=смес
0=собственность,1=собственност
0=совесть,1=совест
0=совокупность,1=совокупност
0=современность,1=современност
0=солидарность,1=солидарност
0=соль,1=сол
0=сохранность,1=сохранност
0=специальность,1=специальност
0=спираль,1=спирал
0=способность,1=способност
0=справедливость,1=справедливост
0=стабильность,1=стабильност
0=сталь,1=стал
0=старость,1=старост
0=стать,1=стат
0=степень,1=степен
0=степь,1=степ
0=стоимость,1=стоимост
0=стойкость,1=стойкост
0=странность,1=странност
0=страсть,1=страст
0=строгость,1=строгост
0=ступень,1=ступен
0=суть,1=сут
0=сущность,1=сущност
0=сырость,1=сырост
0=твердость,1=твёрдост
0=тень,1=тен
0=тетрадь,1=тетрад
0=ткань,1=ткан
0=тонкость,1=тонкост
0=точность,1=точност
0=треть,1=трет
0=трудность,1=трудност
0=тяжесть,1=тяжест
0=уверенность,1=уверенност
0=условность,1=условност
0=усталость,1=усталост
0=устойчивость,1=устойчивост
0=участь,1=участ
0=хитрость,1=хитрост
0=храбрость,1=храброст
0=целесообразность,1=целесообразност
0=цель,1=цел
0=ценность,1=ценност
0=цепь,1=цеп
0=частность,1=частност
0=часть,1=част
0=челюсть,1=челюст
0=честность,1=честност
0=честь,1=чест
0=четверть,1=четверт
0=чувствительность,1=чувствительност
0=шерсть,1=шерст
0=шинель,1=шинел
0=щель,1=щел
0=эффективность,1=эффективност
0=юность,1=юност
0=ярость,1=ярост
0=ясность,1=ясност
0=ёмкость,1=ёмкост
1+я#1+и#1+и#1+й#1+и#1+ям#1+ю#1+и#1+ею#1+ями#1+и#1+ях
0=авария,1=авари
0=авиакомпания,1=авиакомпани
0=авиация,1=авиаци
0=автоматизация,1=автоматизаци
0=автономия,1=автономи
0=агитация,1=агитаци
0=агрессия,1=агресси
0=адаптация,1=адаптаци
0=администрация,1=администраци
0=академия,1=академи
0=активизация,1=активизаци
0=акция,1=акци
0=аллергия,1=аллерги
0=амбиция,1=амбици
0=амнистия,1=амнисти
0=аналогия,1=аналоги
0=аномалия,1=аномали
